pm2.5,DEWP,TEMP,PRES,Iws
129,-16,-4,1020,1.79
148,-15,-4,1020,2.68
159,-11,-5,1021,3.57
181,-7,-5,1022,5.36
138,-7,-5,1022,6.25
109,-7,-6,1022,7.14
105,-7,-6,1023,8.93
124,-7,-5,1024,10.72
120,-8,-6,1024,12.51
132,-7,-5,1025,14.3
140,-7,-5,1026,17.43
152,-8,-5,1026,20.56
148,-8,-5,1026,23.69
164,-8,-5,1025,27.71
158,-9,-5,1025,31.73
154,-9,-5,1025,35.75
159,-9,-5,1026,37.54
164,-8,-5,1027,39.33
170,-8,-5,1027,42.46
149,-8,-5,1028,44.25
154,-7,-5,1028,46.04
164,-7,-5,1027,49.17
156,-8,-6,1028,52.3
126,-8,-6,1027,55.43
90,-7,-6,1027,58.56
63,-8,-6,1026,61.69
65,-8,-7,1026,65.71
55,-8,-7,1025,68.84
65,-8,-7,1024,72.86
83,-9,-8,1024,76.88
91,-10,-8,1024,80.9
86,-10,-9,1024,84.92
82,-10,-9,1024,89.84
86,-11,-9,1023,93.86
78,-11,-9,1023,97.88
98,-11,-9,1022,102.8
107,-11,-9,1021,105.93
90,-11,-9,1020,111.74
96,-11,-9,1020,116.66
95,-11,-9,1020,121.58
86,-11,-9,1020,124.71
70,-11,-9,1020,127.84
61,-11,-9,1021,0.89
53,-11,-9,1022,1.78
71,-10,-9,1022,4.02
72,-11,-10,1023,7.15
76,-11,-9,1023,11.17
73,-12,-11,1023,14.3
79,-14,-12,1023,16.09
58,-16,-9,1023,21.9
25,-17,-10,1024,29.95
26,-18,-11,1024,39.78
28,-19,-11,1025,48.72
26,-20,-12,1026,55.87
20,-21,-12,1027,64.81
29,-21,-13,1027,73.75
26,-22,-13,1028,80.9
27,-22,-13,1029,90.73
27,-22,-12,1030,100.56
25,-23,-12,1031,108.61
29,-21,-11,1030,117.55
32,-20,-10,1030,127.38
28,-21,-10,1030,136.32
29,-21,-9,1030,145.26
30,-21,-9,1031,152.41
30,-20,-11,1032,159.56
28,-23,-11,1032,165.37
26,-21,-12,1033,171.18
31,-24,-12,1034,180.12
33,-24,-13,1034,187.27
29,-24,-13,1035,195.32
31,-26,-15,1035,198.45
30,-26,-17,1035,201.58
34,-26,-18,1035,205.6
27,-26,-19,1035,208.73
25,-27,-18,1035,213.65
28,-27,-19,1035,218.57
28,-27,-16,1034,4.92
27,-26,-16,1035,8.05
27,-27,-16,1034,13.86
27,-26,-16,1035,18.78
29,-26,-15,1035,24.59
36,-25,-14,1035,29.51
30,-25,-13,1035,34.43
27,-25,-12,1034,39.35
39,-24,-11,1032,41.14
41,-22,-11,1032,0.89
33,-23,-11,1031,1.79
50,-24,-11,1031,3.58
56,-23,-11,1031,5.37
59,-23,-11,1032,7.16
60,-22,-13,1033,10.29
84,-22,-12,1033,13.42
106,-24,-18,1033,16.55
66,-22,-13,1034,20.57
50,-22,-16,1033,23.7
56,-25,-17,1033,26.83
77,-25,-14,1033,4.02
50,-26,-14,1034,8.04
44,-26,-14,1033,13.85
27,-26,-14,1033,17.87
28,-26,-14,1033,23.68
21,-26,-14,1033,28.6
25,-26,-15,1034,33.52
20,-26,-14,1034,39.33
29,-25,-13,1035,44.25
34,-25,-12,1035,50.06
42,-24,-11,1035,54.98
28,-24,-10,1034,59
36,-22,-10,1033,4.02
48,-22,-9,1033,5.81
49,-22,-8,1033,0.89
52,-22,-8,1033,1.79
56,-21,-9,1033,3.58
96,-22,-9,1033,5.37
75,-22,-14,1034,0.89
105,-22,-12,1035,1.79
132,-21,-14,1034,3.58
93,-22,-16,1035,5.37
131,-21,-16,1035,7.16
127,-21,-16,1035,8.95
130,-21,-16,1035,0.45
43,-22,-18,1036,1.34
37,-23,-15,1036,4.02
30,-24,-16,1035,7.15
28,-25,-15,1035,10.28
24,-24,-15,1035,14.3
23,-25,-13,1036,4.92
24,-24,-14,1036,4.02
27,-23,-12,1036,8.94
40,-22,-11,1036,12.96
42,-20,-10,1036,16.09
42,-21,-9,1035,19.22
55,-21,-8,1034,21.01
52,-20,-7,1033,22.8
51,-20,-7,1032,24.59
57,-18,-8,1032,26.38
50,-19,-9,1032,28.17
54,-19,-11,1032,0.89
67,-18,-11,1033,1.79
106,-19,-15,1032,1.79
159,-19,-14,1032,0.45
198,-21,-14,1032,1.34
190,-21,-16,1032,2.23
210,-21,-17,1031,1.79
195,-19,-16,1031,3.58
275,-20,-16,1031,0.89
164,-19,-15,1030,0.89
110,-18,-15,1030,0.45
100,-18,-15,1029,1.34
81,-18,-15,1029,1.79
71,-16,-13,1029,0.89
66,-16,-12,1029,0.89
92,-16,-12,1030,1.78
135,-17,-10,1030,0.89
155,-16,-10,1029,0.89
198,-16,-9,1028,3.13
250,-15,-8,1026,4.92
200,-16,-8,1026,0.89
231,-16,-8,1025,1.78
250,-16,-8,1025,2.67
212,-17,-8,1025,0.89
219,-17,-9,1026,0.45
227,-17,-11,1026,1.34
226,-17,-12,1026,1.79
225,-18,-14,1027,1.79
168,-16,-9,1027,4.92
169,-16,-11,1027,6.71
165,-17,-13,1027,0.89
159,-17,-13,1027,3.13
167,-17,-14,1027,4.92
196,-17,-15,1027,8.05
169,-17,-13,1027,9.84
155,-19,-16,1027,13.86
119,-18,-15,1027,17.88
106,-19,-15,1027,21.9
93,-18,-14,1028,25.92
84,-18,-9,1029,5.81
73,-17,-7,1029,11.62
66,-17,-6,1030,17.43
40,-16,-6,1029,23.24
49,-16,-5,1029,28.16
50,-15,-4,1029,33.08
49,-14,-4,1028,37.1
41,-15,-4,1029,38.89
37,-15,-4,1030,1.79
45,-15,-7,1030,3.13
44,-15,-6,1031,3.13
54,-15,-7,1032,4.92
50,-15,-6,1032,3.13
47,-15,-8,1033,0.45
66,-15,-8,1033,0.9
75,-15,-11,1033,0.89
82,-17,-13,1033,1.78
66,-17,-12,1033,4.91
83,-17,-13,1033,8.04
62,-19,-14,1032,9.83
40,-18,-13,1032,12.96
23,-19,-13,1032,16.09
25,-19,-14,1033,19.22
27,-19,-14,1034,22.35
35,-17,-12,1033,24.14
50,-16,-7,1033,4.02
70,-15,-7,1033,3.13
75,-15,-7,1032,6.26
58,-14,-6,1031,9.39
70,-14,-6,1031,12.52
68,-13,-5,1030,14.31
71,-14,-5,1031,16.1
88,-14,-6,1031,19.23
84,-13,-7,1032,23.25
83,-15,-6,1032,27.27
66,-15,-6,1033,30.4
27,-15,-4,1034,35.32
24,-16,-4,1034,44.26
22,-17,-5,1035,52.31
23,-17,-6,1035,60.36
27,-17,-8,1035,0.89
23,-19,-11,1036,4.02
17,-20,-11,1036,8.94
17,-21,-11,1035,4.02
16,-22,-12,1035,3.13
16,-22,-12,1035,4.92
20,-22,-13,1036,5.81
20,-22,-9,1036,13.86
18,-22,-10,1036,21.91
25,-22,-9,1036,29.06
26,-21,-9,1036,33.08
27,-20,-6,1035,42.02
28,-19,-5,1034,50.96
15,-19,-5,1033,59.01
24,-20,-5,1033,66.16
13,-20,-5,1032,71.97
13,-20,-5,1033,76.89
13,-20,-7,1033,81.81
17,-22,-7,1033,85.83
20,-22,-8,1033,89.85
27,-23,-10,1033,91.64
20,-23,-13,1033,93.43
15,-22,-12,1032,0.89
21,-22,-15,1031,1.78
21,-22,-14,1031,1.79
37,-22,-14,1031,0.89
26,-24,-18,1030,1.79
15,-24,-13,1030,3.58
9,-25,-14,1030,3.13
11,-24,-14,1030,7.15
